AccNumber,Title,ClassNo ,AuthorEditort,AuthorEditor,Discription,ISBNNumber,Keywords1,Keywords2,Publisher,YearofPublication,PlaceofPublisher ,Status
94,FUNDAMENTALS OF QUANTUM MECHANICS,530.145,"FOCK, V.A.",,367p:ills.22.5cm,,PHYSICS,MECHANICAL OPERATORS,Mir Publishers,1982,Moscow,Available
95,A BRIEF COURSE OF HIGHER MATHEMATICS,515,"KUDRYAVTSEV, K.A.",,693p:ills.22cm,,ANALYSIS, MATHEMATICS,MirPublishers,1981,Moscow,Available
96,PROBLEMS IN GEOMETRY,516,"MODENOV, P.S.",,399p:ills.22cm,,GEOMETRY,GEOMETRY,MIR PUBLISHERS,1981,MOSCOW,Available
97,A COURSE IN DESCRIPTIVE GEOMETRY,515,"GORDON , V.O.; Sementsov, M.A.",,376p:ills.22.5cm,,ANALYSIS,GEOMETRY,MirPublishers,1980,Moscow,Available
98,PROBLEMS IN LINEAR ALGEBRA,512.5,"PROSKURYAKOV, I.V.",,187p:ills.21.5cm,,ALGEBRA AND NUMBER THEORY,LINEAR ALGEBRA,Mir Publishers,1978,Moscow,Available
99,OPERATIONAL METHODS,515,"MASLOV, V.P.",,559p:22cm,,ANALYSIS,OPERATIONAL CALCULUS; METHODS,MIR PUBLISHERS,1976,MOSCOW,Available
100,APPLIED METHODS IN THE THEORY OF NONLINEAR OSCILLATIONS,515,"STARZHINSKY, V.M.",,263p:ills.22cm,,ANALYSIS,MATHEMATICS,MIR PUBLISHERS,1980,MOSCOW,Available
101,A HANDBOOK OF METHODS OF APPROXIMATE FOURIER TRANSFORMATION AND INVERSION OF THE LAPLACE TRANSFORMATION,515,"KRYLOV , V.A.; SKOBLYA, N.S.",,271p:ills.17cm,,ANALYSIS,NUMARICAL; FUNCTION,Mir Publishers,1977,Moscow,Available
102,DIFFERENTIAL EQUATIONS AND THE CALCULUS OF VARIATIONS,515,"ELSGOLTS, L.",,440p:ills.22.5cm,,ANALYSIS,EQUATIONS; VARIATIONS,Mir Publishers,1977,Moscow,Available
103,HEAT AND MASS TRANSFER,621.402219,"LUIKOV, A.V.",,"vii,279p:ills.25.5cm",,HEAT,,MIR PUBLISHERS,1980,MOSCOW,Available
104,FUNDAMENTALS OF CRYSTAL PHYSICS,548.19,"Sirotin, Y.I.; Shaskolskaya, M.P.",,654p:ills;22.5cm,,CRYSTALLOGRAPHY,,Mir Publishers,1982,Moscow ,Available
105,PHYSICS OF WEAKLY IONIZED GASES,530.4419,"SMIRNOV, B.M.",,"vii,279p:ills.25.5cm",,"Plasma (Ionized gases)--Problems, exercises, etc.",Translation of: Fizika slaboionizovannogo gaza.; Includes index.; Bibliography: p. [424]-426.,MIR PUBLISHERS,1981,MOSCOW,Available
106,WHAT IS THE THEORY OF RELATIVITY,530.11,"LANDAU , L.; RUMER, YU.",,60p:ills.20cm,,Relativity (Physics),,Mir Publishers,1981,Moscow,Available
107,MAN AND THE BIOLOGY OF ARID ZONES,574.5,"CLOUDSLEY-THOMAS, J.L. ",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
108,ECOLOGY AND COAL RESOURCE DEVELOPMENT - VOL.2,333.822,,"WALI, M.K.","xiv,1091p:ills.25cm",,LAND ECONOMICS,COAL-CONGRESSES; COAL MINES AND MINING-CONGRESSES; ENERGY POLICY-CONGRESSES; ENVIRONMENTAL PROTECTION-CONGRESSES,PERGAMON PRESS INC.,1979,NEW YORK,Available
110,MOLECULES TO MAN,574,,"WELCH , C.A.  etal...","vi,764p:ills.24cm",,BIOLOGICAL SCIENCE,,Houghton,1972,Boston,Available
111,"LIFE - CELLS, ORGANISMS, POPULATIONS",574,"WILSON, A.O.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
112,INTRODUCTARY MATHEMATICS FOR TECHNICIANS,510.2,"AUERBACH, A.B.; GROZA, V.S.",,"xi,802p:ills.24cm",,,,THE MACMILLAN COMPANY,1972,NEW YORK,Available
113,FUNDAMENTAL ECOLOGY,574.5,"BOUGHEY, A.S.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
114,FUNDAMENTAL ECOLOGY,574.5,"BOUGHEY, T.S.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
115,A STUDENT'S GUIDE TO OPTICAL MICROSCOPES,578.4,"BRANDT, W.H.",,"vii,279p:ills.25.5cm",,MICROSCOPY IN BIOLOGY,,,                            ,                               ,Available
116,EXTRANUCLEAR GENETICS,575,"BEALE, G.    KNOWLES, J.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
117,FORM AND FUNCTION,500,"BLUMBERG ; , A.A.STANLEY, J.J.",,"vii,279p:ills.25.5cm",70061866,Science.,,McGraw-Hill Book Company,1972,New York,Available
118,PROCEEDINGS OF THE SIXTH HAWAI TOPICAL CONFERENCE IN PARTICLE PHYSICS (1975),539.7215,"DOBSON , P.N.    . ; PAKRASA iS;  PETERSON , V.Z.",,"x, 561 p. : ill. ; 23 cm.",,Neutrinos,Electromagnetic reactions; Gauge fields (Physics),University of Hawaii at Manoa,1976,Honolulu,Available
119,GLOBAL PLANNING AND RESOURCE MANAGEMENT:TOWARD INTERNATIONAL DECISION MAKING IN A DIVIDED WORLD,337,,"DOLMON, A.J.","ix,262p:23cm",,INTERNATIONAL ECONOMICS,RESOURCE MANEGEMENT; POWER AND GLOBAL,Pergamon Press,1980,NewYork,Available
120,INTERNATIONAL RELATIONS,327,"FRANKEL, J.",,"xii,227p:20.5cm",,INTERNATIONAL RELTIONS,FOREING POLICIES,Oxford University Press,1964,USA,Available
121,PRESIDENT AND CONGRESS,320.973,"FISHER, L.",,xv347p:21cm,,POLITICAL SCIENCE,CONGRESS,The Free Press,1972,NewYork,Available
122,SHELTER : THE CARE RE-EXAMINED,699.8,"FABUN, D.",,"vii,279p:ills.25.5cm",,BUILDINGS,,,                            ,                               ,Available
123,INVESTIGATING MICROECONOMICS,338.5,"EGGERT, J.",,126p:ills.22.5cm,,PRODUCTION,MICROECOPNOMICS; DEMAND; SUPPLY,"William Kaufmann,Inc.",1979,California,Available
124,ELEMENTARY FUNCTIONS AND  ANALYSIS,515,"HALBERG , C.G.A.; Devlin, JohnF.",,409p:ills.24cm,,ANALYSIS,FUNCTIONS; MATHEMATICS,"Scott,Foresman and Company",1974,England,Available
125,AN ELEMENTARY APPROACH TO FUNCTIONS,515,"KORN , H.R.; LIBERI, A.W.",,"vii,459p:ills.24.5cm",,ANALYSIS,FUNCTIONS,McGraw-Hill,1978,NewYork,Available
126,A TEXTBOOK OF QUANTUM MECHANICS,530.145,"MATHEWS , P.M.; VENKATESAN, K.",,"xv,387p:ills.23.5cm",,PHYSICS,QUANTUM MECHANICS; ANGULAR MOMENTUM,McGraw-Hill,1978,NewDelhi,Available
129,INTRODUCTION TO LINEAR ALGEBRA,512.5,"MARTIN, A.D.",,"viii,440p:ills.23.5cm",,ALGEBRA AND NUMBER THEORY,ALGEBRA; LINEAR OPERATORS,McGraw-Hill,1966,NewYork,Available
131,"WAR AND SOCIETY:THE UNITED STATES ,1941*1945",320.973,"POLENBERG, R.",,298p:20cm,,POLITICAL SCIENCE,WAR,J.B.Lippincott Company,1972,NewYork,Available
132,CONTEMPORARY PHYSICS,530,"PARK, D.",,"viii, 175 p. illus. 21 cm.",156225662,,,Harcourt Brace and world Inc,1964,New York,Available
133,FUNDAMENTAL ACCOUNTING PRINCIPLES,657,"WHITE, J.; PYLE, W.",,"vii,279p:ills.25.5cm",,ACCOUNTING,,,                          ,                               ,Available
134,"DC CIRCUITSAn Aviation Maintenance Publishers,INc Training Manual",621.319,"ROSEN, S.",,"2computerdisks;3 1/2in.v,23p.",23851414,,,"Macmillan,",1994,New York,Available
135,HIMAN POPULTION GENETICS,575,"REID, R.M.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
136,SCIENCE TECHNOLOGY AND HUMAN PROSPECT,301.24,,"STARR, C. ; RITTERBUSH, P.C.","xiv,228p:ills.25.5cm",,SOCIALOGY,HUMAN PROSPECTS,Pergaman Press,1980,NewYork,Available
137,"MANAGEMENT POLICY AND STRATEGY TEXT, READING AND CASES",658.4,"STEINER, G.A; MINER, J.B.",,"vii,279p:ills.25.5cm",,GENERAL MANEGEMENT,,,                            ,                               ,Available
139,THE ECOLOGY OF MAN : AN ECOSYSTEM APPROACH,577.4,"SMITH, R.L.",,"vii,279p:ills.25.5cm",,GENERAL NATURE OF LIFE,,,                            ,                               ,Available
140,SOLAR ENERGY INTERNATIONAL PROGRESS,621.47,,S>VENIROGHI I>T.N.,"vii,279p:ills.25.5cm",,APPLIED PHYSICS,,,                            ,                               ,Available
141,THE TEACHER AND COLLECTIVE BARGAINING:AN INTRODUCTION TO EMPLOYMENT RELATIONS IN PUBLIC EDUCATION,310,"WALTER, R.L.",,100p:23cm,,GENAREL STATISTICS,COLLECTIVE BARGAIN,"PROFESSIONAL EDUCATORS PUBLICATIONS,INC",1975,NEBRASKA,Available
142,LOOKING NORTH TO SOUTH EAST ASIA,950,"WATERS, E.P.",,"vii,279p:ills.25.5cm",,GENERAL HISTORY OF ASIA FAR EAST,,,                            ,                               ,Available
144,ANTHROPOLOGY : BIOLOGY AND RACE,572,"KROEBER, A.L.",,"209, xxi p. illus. 21 cm.",,Race.,,A Harbinger Book,1963,NewYork,Available
145,COMMUNITIES OF MOLECULES A PHYSICAL CHEMISTRY MODULE,540,"DEVOE, H.",,"vii,279p:ills.25.5cm",,,,"Chemistry Association of Maryland, Inc",1973,USA,Available
147,THE WORLD ALMANAC AND BOOK OF FACTS - 1979,REF 011.34,"DELURY, G.E.",,"vii,279p:ills.25.5cm",91181809,"Almanacs, American.",Statistics--Periodicals.,"NEWS PAPER ASSOCIATION,INC",1979,NEW YORK,Available
148,THE WORLD ALMANAC AND BOOK OF FACTS - 1981,REF 011.34,,"LANE, H.U.","vii,279p:ills.25.5cm",911818170,"Almanacs, American.",Statistics--Periodicals.,"NEWSPAPER ENTERPRISE ASSOCIATION,INC",1979,NEW YORK,Available
149,MICROPROCESSORS,621.381,"ZAKS, R.",,"vii,279p:ills.25.5cm",,APPLIED PHYSICS,,,                            ,                               ,Available
150,COMMUNITY ECONOMIC DEVELOPMENT:LIBRARY OF LOW AND CONTEMPORARY PROBLEMS,330.9,,"WEISTART , J.C.",308p:ills.24cm,,ECONOMICS,ECONOMICS DEVELOPMENT,"Oceana Publications,INC",1972,NewYork,Available
154,MICROBIAL DISEASES - 1980 EDITION ,576.8,,"MACY, C.W.","vii,279p:ills.25.5cm",,MICROBIOLOGY,,,                            ,                               ,Available
155,THE BANKING JOB FINDER,332.1,,MAINSTREAM ACCESS INC.,"vii,216p:ills.23.5cm",,FINANCIAL ECONOMY,BANKING,Prentice-Hall,1981,NewJersey,Available
157,ASTROPHYSICAL COSMOLOGY : PROCEEDINGS OF THE STUDY WEEK ON COSMOLOGY AND FUNDAMENTAL PHYSIOCS ,523.119,,"BRUCK, H.A.","xxxv,600p:ills.24.5cm",,Cosmology, Nuclear astrophysics,Pontificia Academia,1981,Europe,Available
158,DEVELOPING MATHEMATICAL UNDERSTANDINGS IN THE UPPER GRADES,510.712,"BRUECKNER, L.J.; GROSSNICKLE, F.E.;  RECKZEH, J.",,"v,567p:ills.22cm",,Mathematics--Study and teaching (Secondary).,,THE JOHN C. WINSTON COMPANY,1957,PHILADELPHIA,Available
159,MICROBIOLOGY : AN ENVIRONMENTAL PERSPECTIVE,576.15,"EDMONDS, P.",,"vii,279p:ills.25.5cm",,MICROBIOLOGY,,Macmillan Publishing Co.,1978,USA,Available
160,QUANTUM THEORY OF THE CHEMICAL BOND,530.145,"HAMEKA, H.F.",,"vii,312p:ills.24cm",,PHYSICS,QUANTUM MECHANICS; ATOMIC STRUCTURE; SOLID STATE,Hafner Press,1975,NewYork,Available
161,REVIEW OF MEDICAL MICROBIOLOGY,576.8,"JAWETZ, E.",,"vii,279p:ills.25.5cm",,MICROBIOLOGY,,,                            ,                               ,Available
162,SELF REVIEW IN BUSINESS AND ECONOMIC STATISTICS,519.5,"MASON, R.D.",,"xi,166p:ills.25cm",,,,LEARNING SYSTEMS COMPANY,1978,HOMEWOOD,Available
163,MICROBIAL DISEASES - 1980 EDITION,576.8,,"MACY, C.W.","vii,279p:ills.25.5cm",,MICROBIOLOGY,,,                            ,                               ,Available
